Código Município Completo,Nº LOTE 2025,REGIÃO DE PLANEJAMENTO,regiao_upp,Nome_Município,mun_upp
2300101,LOTE 23,Cariri,CARIRI,Abaiara,ABAIARA
2300150,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Acarape,ACARAPE
2300200,LOTE 19,Litoral Norte,LITORAL NORTE,Acaraú,ACARAÚ
2300309,LOTE 26,Centro Sul,CENTRO SUL,Acopiara,ACOPIARA
2300408,LOTE 38,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Aiuaba,AIUABA
2300507,LOTE 35,Sertão de Sobral,SERTÃO DE SOBRAL,Alcântaras,ALCÂNTARAS
2300606,LOTE 25,Cariri,CARIRI,Altaneira,ALTANEIRA
2300705,LOTE 40,Vale do Jaguaribe,VALE DO JAGUARIBE,Alto Santo,ALTO SANTO
2300754,LOTE 20,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Amontada,AMONTADA
2300804,LOTE 25,Cariri,CARIRI,Antonina do Norte,ANTONINA DO NORTE
2300903,LOTE 21,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Apuiarés,APUIARÉS
2301000,LOTE 15,Grande Fortaleza,GRANDE FORTALEZA,Aquiraz,AQUIRAZ
2301109,LOTE 17,Litoral Leste,LITORAL LESTE,Aracati,ARACATI
2301208,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Aracoiaba,ARACOIABA
2301257,LOTE 36,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Ararendá,ARARENDÁ
2301307,LOTE 25,Cariri,CARIRI,Araripe,ARARIPE
2301406,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Aratuba,ARATUBA
2301505,LOTE 38,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Arneiroz,ARNEIROZ
2301604,LOTE 25,Cariri,CARIRI,Assaré,ASSARÉ
2301703,LOTE 24,Cariri,CARIRI,Aurora,AURORA
2301802,LOTE 27,Centro Sul,CENTRO SUL,Baixio,BAIXIO
2301851,LOTE 30,Sertão Central,SERTÃO CENTRAL,Banabuiú,BANABUIÚ
2301901,LOTE 23,Cariri,CARIRI,Barbalha,BARBALHA
2301950,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Barreira,BARREIRA
2302008,LOTE 24,Cariri,CARIRI,Barro,BARRO
2302057,LOTE 18,Litoral Norte,LITORAL NORTE,Barroquinha,BARROQUINHA
2302107,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Baturité,BATURITÉ
2302206,LOTE 17,Litoral Leste,LITORAL LESTE,Beberibe,BEBERIBE
2302305,LOTE 19,Litoral Norte,LITORAL NORTE,Bela Cruz,BELA CRUZ
2302404,LOTE 32,Sertão de Canindé,SERTÃO DE CANINDÉ,Boa Viagem,BOA VIAGEM
2302503,LOTE 24,Cariri,CARIRI,Brejo Santo,BREJO SANTO
2302602,LOTE 18,Litoral Norte,LITORAL NORTE,Camocim,CAMOCIM
2302701,LOTE 25,Cariri,CARIRI,Campos Sales,CAMPOS SALES
2302800,LOTE 32,Sertão de Canindé,SERTÃO DE CANINDÉ,Canindé,CANINDÉ
2302909,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Capistrano,CAPISTRANO
2303006,LOTE 32,Sertão de Canindé,SERTÃO DE CANINDÉ,Caridade,CARIDADE
2303105,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Cariré,CARIRÉ
2303204,LOTE 22,Cariri,CARIRI,Caririaçu,CARIRIAÇU
2303303,LOTE 27,Centro Sul,CENTRO SUL,Cariús,CARIÚS
2303402,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,Carnaubal,CARNAUBAL
2303501,LOTE 15,Grande Fortaleza,GRANDE FORTALEZA,Cascavel,CASCAVEL
2303600,LOTE 26,Centro Sul,CENTRO SUL,Catarina,CATARINA
2303659,LOTE 37,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Catunda,CATUNDA
2303709,LOTE 12,Grande Fortaleza,GRANDE FORTALEZA,Caucaia,CAUCAIA
2303808,LOTE 27,Centro Sul,CENTRO SUL,Cedro,CEDRO
2303907,LOTE 18,Litoral Norte,LITORAL NORTE,Chaval,CHAVAL
2303931,LOTE 30,Sertão Central,SERTÃO CENTRAL,Choró,CHORÓ
2303956,LOTE 15,Grande Fortaleza,GRANDE FORTALEZA,Chorozinho,CHOROZINHO
2304004,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Coreaú,COREAÚ
2304103,LOTE 36,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Crateús,CRATEÚS
2304202,LOTE 23,Cariri,CARIRI,Crato,CRATO
2304236,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,Croatá,CROATÁ
2304251,LOTE 19,Litoral Norte,LITORAL NORTE,Cruz,CRUZ
2304269,LOTE 31,Sertão Central,SERTÃO CENTRAL,Deputado Irapuan Pinheiro,DEPUTADO IRAPUAN PINHEIRO
2304277,LOTE 40,Vale do Jaguaribe,VALE DO JAGUARIBE,Ereré,ERERÉ
2304285,LOTE 15,Grande Fortaleza,GRANDE FORTALEZA,Eusébio,EUSÉBIO
2304301,LOTE 22,Cariri,CARIRI,Farias Brito,FARIAS BRITO
2304350,LOTE 33,Sertão de Sobral,SERTÃO DE SOBRAL,Forquilha,FORQUILHA
2304400,,,,Fortaleza,FORTALEZA
2304459,LOTE 17,Litoral Leste,LITORAL LESTE,Fortim,FORTIM
2304509,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Frecheirinha,FRECHEIRINHA
2304608,LOTE 21,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,General Sampaio,GENERAL SAMPAIO
2304657,LOTE 34,Sertão de Sobral,SERTÃO DE SOBRAL,Graça,GRAÇA
2304707,LOTE 18,Litoral Norte,LITORAL NORTE,Granja,GRANJA
2304806,LOTE 22,Cariri,CARIRI,Granjeiro,GRANJEIRO
2304905,LOTE 33,Sertão de Sobral,SERTÃO DE SOBRAL,Groaíras,GROAÍRAS
2304954,LOTE 14,Grande Fortaleza,GRANDE FORTALEZA,Guaiúba,GUAIÚBA
2305001,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,Guaraciaba do Norte,GUARACIABA DO NORTE
2305100,LOTE 28,Maciço de Baturité,MACIÇO DE BATURITÉ,Guaramiranga,GUARAMIRANGA
2305209,LOTE 37,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Hidrolândia,HIDROLÂNDIA
2305233,LOTE 15,Grande Fortaleza,GRANDE FORTALEZA,Horizonte,HORIZONTE
2305266,LOTE 30,Sertão Central,SERTÃO CENTRAL,Ibaretama,IBARETAMA
2305308,LOTE 29,Serra da Ibiapaba,SERRA DA IBIAPABA,Ibiapina,IBIAPINA
2305332,LOTE 30,Sertão Central,SERTÃO CENTRAL,Ibicuitinga,IBICUITINGA
2305357,LOTE 17,Litoral Leste,LITORAL LESTE,Icapuí,ICAPUÍ
2305407,LOTE 27,Centro Sul,CENTRO SUL,Icó,ICÓ
2305506,LOTE 26,Centro Sul,CENTRO SUL,Iguatu,IGUATU
2305605,LOTE 36,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Independência,INDEPENDÊNCIA
