cod_ibge,regiao_plan,lote,nome_municipio,mun_upp,qtd_benef,qtd_cozinhas
2300101,CARIRI,Lote 23,Abaiara,ABAIARA,200,2
2300150,MACIÇO DE BATURITÉ,Lote 28,Acarape,ACARAPE,200,2
2300200,LITORAL NORTE,Lote 19,Acaraú,ACARAÚ,699,7
2300309,CENTRO SUL,Lote 26,Acopiara,ACOPIARA,300,3
2300408,SERTÃO DOS INHAMUNS,Lote 38,Aiuaba,AIUABA,169,2
2300507,SERTÃO DE SOBRAL,Lote 35,Alcântaras,ALCÂNTARAS,200,2
2300606,CARIRI,Lote 25,Altaneira,ALTANEIRA,200,2
2300705,VALE DO JAGUARIBE,Lote 40,Alto Santo,ALTO SANTO,399,4
2300754,LITORAL OESTE / VALE DO CURU,Lote 20,Amontada,AMONTADA,203,3
2300804,CARIRI,Lote 25,Antonina do Norte,ANTONINA DO NORTE,100,1
2300903,LITORAL OESTE / VALE DO CURU,Lote 21,Apuiarés,APUIARÉS,280,3
2301000,GRANDE FORTALEZA,Lote 15,Aquiraz,AQUIRAZ,900,9
2301109,LITORAL LESTE,Lote 17,Aracati,ARACATI,1800,18
2301208,MACIÇO DE BATURITÉ,Lote 28,Aracoiaba,ARACOIABA,399,4
2301257,SERTÃO DOS CRATEÚS,Lote 36,Ararendá,ARARENDÁ,300,3
2301307,CARIRI,Lote 25,Araripe,ARARIPE,100,1
2301406,MACIÇO DE BATURITÉ,Lote 28,Aratuba,ARATUBA,100,1
2301505,SERTÃO DOS INHAMUNS,Lote 38,Arneiroz,ARNEIROZ,191,2
2301604,CARIRI,Lote 25,Assaré,ASSARÉ,299,3
2301703,CARIRI,Lote 24,Aurora,AURORA,78,1
2301802,CENTRO SUL,Lote 27,Baixio,BAIXIO,100,1
2301851,SERTÃO CENTRAL,Lote 30,Banabuiú,BANABUIÚ,200,2
2301901,CARIRI,Lote 23,Barbalha,BARBALHA,900,9
2301950,MACIÇO DE BATURITÉ,Lote 28,Barreira,BARREIRA,700,7
2302008,CARIRI,Lote 24,Barro,BARRO,299,5
2302057,LITORAL NORTE,Lote 18,Barroquinha,BARROQUINHA,200,2
2302107,MACIÇO DE BATURITÉ,Lote 28,Baturité,BATURITÉ,700,7
2302206,LITORAL LESTE,Lote 17,Beberibe,BEBERIBE,600,6
2302305,LITORAL NORTE,Lote 19,Bela Cruz,BELA CRUZ,97,1
2302404,SERTÃO DE CANINDÉ,Lote 32,Boa Viagem,BOA VIAGEM,300,3
2302503,CARIRI,Lote 24,Brejo Santo,BREJO SANTO,599,6
2302602,LITORAL NORTE,Lote 18,Camocim,CAMOCIM,794,8
2302701,CARIRI,Lote 25,Campos Sales,CAMPOS SALES,496,5
2302800,SERTÃO DE CANINDÉ,Lote 32,Canindé,CANINDÉ,1100,11
2302909,MACIÇO DE BATURITÉ,Lote 28,Capistrano,CAPISTRANO,100,1
2303006,SERTÃO DE CANINDÉ,Lote 32,Caridade,CARIDADE,300,3
2303105,SERTÃO DE SOBRAL,Lote 34,Cariré,CARIRÉ,100,1
2303204,CARIRI,Lote 22,Caririaçu,CARIRIAÇU,300,3
2303303,CENTRO SUL,Lote 27,Cariús,CARIÚS,200,2
