Código Município Completo,REGIÃO DE PLANEJAMENTO,regiao_upp,lote,Nome_Município,mun_upp,qtd_cozinhas
2300101,Cariri,CARIRI,Lote 23,Abaiara,ABAIARA,2
2300150,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Acarape,ACARAPE,2
2300200,Litoral Norte,LITORAL NORTE,Lote 19,Acaraú,ACARAÚ,7
2300309,Centro Sul,CENTRO SUL,Lote 26,Acopiara,ACOPIARA,3
2300408,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Lote 38,Aiuaba,AIUABA,2
2300507,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 35,Alcântaras,ALCÂNTARAS,2
2300606,Cariri,CARIRI,Lote 25,Altaneira,ALTANEIRA,2
2300705,Vale do Jaguaribe,VALE DO JAGUARIBE,Lote 40,Alto Santo,ALTO SANTO,4
2300754,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 20,Amontada,AMONTADA,3
2300804,Cariri,CARIRI,Lote 25,Antonina do Norte,ANTONINA DO NORTE,1
2300903,Litoral Oeste / Vale do Curu,LITORAL OESTE / VALE DO CURU,Lote 21,Apuiarés,APUIARÉS,3
2301000,Grande Fortaleza,GRANDE FORTALEZA,Lote 15,Aquiraz,AQUIRAZ,9
2301109,Litoral Leste,LITORAL LESTE,Lote 17,Aracati,ARACATI,18
2301208,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Aracoiaba,ARACOIABA,4
2301257,Sertão dos Crateús,SERTÃO DOS CRATEÚS,Lote 36,Ararendá,ARARENDÁ,3
2301307,Cariri,CARIRI,Lote 25,Araripe,ARARIPE,1
2301406,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Aratuba,ARATUBA,1
2301505,Sertão dos Inhamuns,SERTÃO DOS INHAMUNS,Lote 38,Arneiroz,ARNEIROZ,2
2301604,Cariri,CARIRI,Lote 25,Assaré,ASSARÉ,3
2301703,Cariri,CARIRI,Lote 24,Aurora,AURORA,1
2301802,Centro Sul,CENTRO SUL,Lote 27,Baixio,BAIXIO,1
2301851,Sertão Central,SERTÃO CENTRAL,Lote 30,Banabuiú,BANABUIÚ,2
2301901,Cariri,CARIRI,Lote 23,Barbalha,BARBALHA,9
2301950,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Barreira,BARREIRA,7
2302008,Cariri,CARIRI,Lote 24,Barro,BARRO,5
2302057,Litoral Norte,LITORAL NORTE,Lote 18,Barroquinha,BARROQUINHA,2
2302107,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Baturité,BATURITÉ,7
2302206,Litoral Leste,LITORAL LESTE,Lote 17,Beberibe,BEBERIBE,6
2302305,Litoral Norte,LITORAL NORTE,Lote 19,Bela Cruz,BELA CRUZ,1
2302404,Sertão de Canindé,SERTÃO DE CANINDÉ,Lote 32,Boa Viagem,BOA VIAGEM,3
2302503,Cariri,CARIRI,Lote 24,Brejo Santo,BREJO SANTO,6
2302602,Litoral Norte,LITORAL NORTE,Lote 18,Camocim,CAMOCIM,8
2302701,Cariri,CARIRI,Lote 25,Campos Sales,CAMPOS SALES,5
2302800,Sertão de Canindé,SERTÃO DE CANINDÉ,Lote 32,Canindé,CANINDÉ,11
2302909,Maciço de Baturité,MACIÇO DE BATURITÉ,Lote 28,Capistrano,CAPISTRANO,1
2303006,Sertão de Canindé,SERTÃO DE CANINDÉ,Lote 32,Caridade,CARIDADE,3
2303105,Sertão de Sobral,SERTÃO DE SOBRAL,Lote 34,Cariré,CARIRÉ,1
2303204,Cariri,CARIRI,Lote 22,Caririaçu,CARIRIAÇU,3
2303303,Centro Sul,CENTRO SUL,Lote 27,Cariús,CARIÚS,2
2303402,Serra da Ibiapaba,SERRA DA IBIAPABA,Lote 29,Carnaubal,CARNAUBAL,2
2303501,Grande Fortaleza,GRANDE FORTALEZA,Lote 15,Cascavel,CASCAVEL,10
2303600,Centro Sul,CENTRO SUL,Lote 26,Catarina,CATARINA,2
